x,y,rho,V,Ex,Ey
0.015625,0.2421875,3.27584657431e-16,5.79161514272e-05,-0.00370283623552,-0.000315470808539
0.015625,0.25,7.24298462814e-16,6.04005833852e-05,-0.00386207647638,-0.000320386315947
0.015625,0.2578125,1.56281899511e-15,6.29221876138e-05,-0.00402374185715,-0.000324956150544
0.015625,0.265625,3.29076527763e-15,6.54780232374e-05,-0.00418764649792,-0.000329117229906
0.015625,0.2734375,6.76211011584e-15,6.80646443311e-05,-0.00435357199342,-0.000332803477857
0.015625,0.28125,1.356015577e-14,7.0678077579e-05,-0.00452126591818,-0.000335946136022
0.015625,0.2890625,2.65365356881e-14,7.33138027065e-05,-0.00469044050316,-0.000338474166232
0.015625,0.296875,5.06781648829e-14,7.59667364263e-05,-0.00486077153213,-0.000340314751237
0.015625,0.3046875,9.44484080316e-14,7.86312206945e-05,-0.00503189750967,-0.000341393900074
0.015625,0.3125,1.71777196843e-13,8.1301016115e-05,-0.00520341915622,-0.000341637162614
0.015625,0.3203125,3.04883195798e-13,8.39693013604e-05,-0.00537489928728,-0.000340970455698
0.015625,0.328125,5.28078604566e-13,8.66286794853e-05,-0.00554586313535,-0.000339321000304
0.015625,0.3359375,8.92607976725e-13,8.92711919901e-05,-0.00571579917239,-0.000336618365943
0.015625,0.34375,1.47238051793e-12,9.18883414531e-05,-0.00588416048794,-0.000332795614362
0.015625,0.3515625,2.37015347321e-12,9.44711234646e-05,-0.00605036677391,-0.000327790530314
0.015625,0.359375,3.72331673295e-12,9.70100684893e-05,-0.00621380695928,-0.000321546922143
0.015625,0.3671875,5.70795582062e-12,9.9495294123e-05,-0.00637384252892,-0.000314015969938
0.015625,0.375,8.53941915567e-12,0.00010191656802,-0.00652981154764,-0.000305157593729
0.015625,0.3828125,1.24673217315e-11,0.000104263381525,-0.00668103339578,-0.000294941809302
0.015625,0.390625,1.77629506848e-11,0.00010652503379,-0.00682681420421,-0.000283350034666
0.015625,0.3984375,2.46975663312e-11,0.000108690725817,-0.00696645295708,-0.000270376306587
0.015625,0.40625,3.35112261258e-11,0.00011074966358,-0.00709924820767,-0.000256028364054
0.015625,0.4140625,4.43734895843e-11,0.000112691169005,-0.00722450533029,-0.000240328554544
0.015625,0.421875,5.7339507192e-11,0.000114504797245,-0.00734154420702,-0.000223314519729
0.015625,0.4296875,7.23071819528e-11,0.000116180458376,-0.00744970722565,-0.000205039620029
0.015625,0.4375,8.89827909505e-11,0.000117708541308,-0.00754836744388,-0.000185573062417
0.015625,0.4453125,1.06863087566e-10,0.000119080037476,-0.00763693675723,-0.000164999702963
0.015625,0.453125,1.252409981e-10,0.000120286661667,-0.00771487389439,-0.000143419504855
0.015625,0.4609375,1.43239378991e-10,0.000121320967239,-0.00778169205527,-0.000120946643533
0.015625,0.46875,1.59873118447e-10,0.000122176452972,-0.00783696600535,-9.77082629499e-05
0.015625,0.4765625,1.74134799609e-10,0.000122847658848,-0.0078803384444,-7.38428999741e-05
0.015625,0.484375,1.8509419653e-10,0.000123330248284,-0.00791152548005,-4.94986072016e-05
0.015625,0.4921875,1.91998192837e-10,0.000123621074586,-0.0079303210555,-2.48308168983e-05
0.015625,0.5,1.94356284143e-10,0.000123718229798,-0.00793660020676,-1.73472347598e-18
0.015625,0.5078125,1.91998192837e-10,0.000123621074586,-0.0079303210555,2.48308168983e-05
0.015625,0.515625,1.8509419653e-10,0.000123330248284,-0.00791152548005,4.94986072016e-05
0.015625,0.5234375,1.74134799609e-10,0.000122847658848,-0.0078803384444,7.38428999741e-05
0.015625,0.53125,1.59873118447e-10,0.000122176452972,-0.00783696600535,9.77082629499e-05
0.015625,0.5390625,1.43239378991e-10,0.000121320967239,-0.00778169205527,0.000120946643533
0.015625,0.546875,1.252409981e-10,0.000120286661667,-0.00771487389439,0.000143419504855
0.015625,0.5546875,1.06863087566e-10,0.000119080037476,-0.00763693675723,0.000164999702963
0.015625,0.5625,8.89827909505e-11,0.000117708541308,-0.00754836744388,0.000185573062417
0.015625,0.5703125,7.23071819528e-11,0.000116180458376,-0.00744970722565,0.000205039620029
0.015625,0.578125,5.7339507192e-11,0.000114504797245,-0.00734154420702,0.000223314519729
0.015625,0.5859375,4.43734895843e-11,0.000112691169005,-0.00722450533029,0.000240328554544
0.015625,0.59375,3.35112261258e-11,0.00011074966358,-0.00709924820767,0.000256028364054
0.015625,0.6015625,2.46975663312e-11,0.000108690725817,-0.00696645295708,0.000270376306587
0.015625,0.609375,1.77629506848e-11,0.00010652503379,-0.00682681420421,0.000283350034666
0.015625,0.6171875,1.24673217315e-11,0.000104263381525,-0.00668103339578,0.000294941809302
0.015625,0.625,8.53941915567e-12,0.00010191656802,-0.00652981154764,0.000305157593729
0.015625,0.6328125,5.70795582062e-12,9.9495294123e-05,-0.00637384252892,0.000314015969938
0.015625,0.640625,3.72331673295e-12,9.70100684893e-05,-0.00621380695928,0.000321546922143
0.015625,0.6484375,2.37015347321e-12,9.44711234646e-05,-0.00605036677391,0.000327790530314
0.015625,0.65625,1.47238051793e-12,9.18883414531e-05,-0.00588416048794,0.000332795614362
0.015625,0.6640625,8.92607976725e-13,8.92711919901e-05,-0.00571579917239,0.000336618365943
