step,id,x,y,vx,vy
4860,1,0.382763,0.596216,0.0345228,-0.275271
4890,0,0.501647,0.501882,-0.0033898,0.00671071
4890,1,0.383398,0.591995,0.0502248,-0.287491
4920,0,0.501594,0.501981,-0.00367977,0.00651573
4920,1,0.384273,0.587592,0.0665379,-0.299657
4950,0,0.501537,0.502077,-0.00396542,0.00631055
4950,1,0.385397,0.583006,0.0835193,-0.311779
4980,0,0.501476,0.502171,-0.00424678,0.00609557
4980,1,0.386782,0.578239,0.101244,-0.323841
5010,0,0.50141,0.50226,-0.00452386,0.00587114
5010,1,0.388439,0.573291,0.119793,-0.335831
5040,0,0.50134,0.502347,-0.00479675,0.00563757
5040,1,0.39038,0.568164,0.139261,-0.34773
5070,0,0.501266,0.502429,-0.00506562,0.00539511
5070,1,0.392622,0.56286,0.159758,-0.359509
5100,0,0.501188,0.502508,-0.00533071,0.00514406
5100,1,0.395179,0.55738,0.181417,-0.371153
5130,0,0.501106,0.502584,-0.00559235,0.00488442
5130,1,0.398071,0.551726,0.204394,-0.382592
5160,0,0.50102,0.502655,-0.00585107,0.00461613
5160,1,0.401318,0.545903,0.228878,-0.393751
5190,0,0.50093,0.502722,-0.00610747,0.00433898
5190,1,0.404946,0.539916,0.255095,-0.404533
5220,0,0.500837,0.502785,-0.0063624,0.00405242
5220,1,0.408981,0.53377,0.28331,-0.414771
5250,0,0.50074,0.502844,-0.00661717,0.00375575
5250,1,0.413457,0.527476,0.313876,-0.424267
5280,0,0.500638,0.502898,-0.00687309,0.00344747
5280,1,0.418411,0.521047,0.347194,-0.432669
5310,0,0.500533,0.502947,-0.00713202,0.00312522
5310,1,0.423889,0.514504,0.383748,-0.439481
5340,0,0.500424,0.502991,-0.00739634,0.0027856
5340,1,0.429943,0.507875,0.424138,-0.443959
5370,0,0.500311,0.50303,-0.00766849,0.00242293
5370,1,0.436635,0.501203,0.468999,-0.44493
5400,0,0.500194,0.503064,-0.00795044,0.00202816
5400,1,0.444038,0.494553,0.518857,-0.440565
5430,0,0.500073,0.503091,-0.00824115,0.00158742
5430,1,0.452226,0.488026,0.573728,-0.428069
5460,0,0.499947,0.503111,-0.00853235,0.00108186
5460,1,0.461267,0.481771,0.632139,-0.4035
5490,0,0.499817,0.503123,-0.00880198,0.00049551
5490,1,0.471187,0.476004,0.689744,-0.362276
5520,0,0.499683,0.503126,-0.00900761,-0.000185354
5520,1,0.481915,0.471003,0.738141,-0.301223
5550,0,0.499547,0.503117,-0.00909255,-0.000943853
5550,1,0.493227,0.467053,0.765949,-0.22353
5580,0,0.499411,0.503097,-0.00902894,-0.00171781
5580,1,0.504759,0.464318,0.767358,-0.141769
5610,0,0.499277,0.503066,-0.0088428,-0.00243146
5610,1,0.516141,0.462742,0.747516,-0.0708981
5640,0,0.499146,0.503025,-0.0085847,-0.00306601
5640,1,0.52713,0.462117,0.716497,-0.0147215
5670,0,0.49902,0.502974,-0.00828898,-0.00363123
5670,1,0.537613,0.462237,0.680943,0.0289023
5700,0,0.498898,0.502916,-0.0079736,-0.00414102
5700,1,0.547552,0.462936,0.644258,0.0627986
5730,0,0.498781,0.50285,-0.0076476,-0.00460717
5730,1,0.556944,0.464085,0.608136,0.0893872
5760,0,0.498668,0.502778,-0.00731507,-0.00503839
5760,1,0.565803,0.46559,0.573295,0.110479
5790,0,0.498561,0.502699,-0.00697795,-0.00544106
5790,1,0.574151,0.467379,0.539984,0.127396
5820,0,0.498459,0.502615,-0.00663693,-0.00581946
5820,1,0.58201,0.469396,0.508222,0.141098
5850,0,0.498362,0.502525,-0.00629236,-0.00617646
5850,1,0.589405,0.471599,0.477961,0.15221
5880,0,0.49827,0.50243,-0.00594422,-0.00651417
5880,1,0.596356,0.473952,0.449088,0.161256
5910,0,0.498184,0.502329,-0.00559227,-0.00683428
5910,1,0.602884,0.476428,0.421457,0.16865
5940,0,0.498103,0.502225,-0.00523642,-0.0071377
5940,1,0.609005,0.479005,0.394961,0.174674
5970,0,0.498027,0.502115,-0.00487663,-0.00742496
5970,1,0.614738,0.481662,0.369503,0.179535
6000,0,0.497956,0.502002,-0.00451267,-0.00769649
6000,1,0.620095,0.484386,0.34496,0.183424
6030,0,0.497891,0.501885,-0.00414453,-0.00795243
6030,1,0.625091,0.487161,0.321243,0.186478
6060,0,0.497832,0.501763,-0.00377222,-0.00819272
6060,1,0.629736,0.489976,0.298279,0.188803
6090,0,0.497778,0.501639,-0.00339564,-0.00841722
6090,1,0.634042,0.492822,0.275981,0.190496
6120,0,0.49773,0.501511,-0.00301485,-0.00862563
6120,1,0.638019,0.495689,0.25429,0.191627
6150,0,0.497688,0.50138,-0.00262995,-0.00881756
6150,1,0.641674,0.498568,0.233154,0.192255
6180,0,0.497651,0.501247,-0.00224089,-0.00899256
6180,1,0.645016,0.501454,0.212494,0.192428
6210,0,0.497621,0.50111,-0.00184789,-0.00915011
6210,1,0.648051,0.504339,0.192291,0.192187
6240,0,0.497596,0.500972,-0.00145102,-0.00928963
6240,1,0.650786,0.507218,0.172493,0.191565
6270,0,0.497577,0.500832,-0.00105039,-0.00941045
6270,1,0.653227,0.510084,0.153047,0.19059
6300,0,0.497564,0.50069,-0.000646269,-0.00951194
6300,1,0.655379,0.512934,0.133937,0.189288
6330,0,0.497558,0.500547,-0.000238835,-0.00959335
6330,1,0.657247,0.515761,0.115121,0.187672
6360,0,0.497557,0.500402,0.000171698,-0.00965393
6360,1,0.658834,0.518562,0.096562,0.185758
6390,0,0.497563,0.500257,0.000585018,-0.0096929
6390,1,0.660145,0.521333,0.0782394,0.183558
6420,0,0.497575,0.500112,0.00100083,-0.00970946
6420,1,0.661182,0.524068,0.0601201,0.18108
6450,0,0.497593,0.499966,0.00141848,-0.00970282
6450,1,0.66195,0.526764,0.042189,0.178336
6480,0,0.497617,0.499821,0.00183174,-0.00967266
6480,1,0.662449,0.529416,0.0244224,0.17533
6510,0,0.497648,0.499676,0.00223778,-0.00961954
6510,1,0.662683,0.532022,0.00679133,0.172058
6540,0,0.497684,0.499532,0.00263624,-0.00954423
6540,1,0.662653,0.534577,-0.0107176,0.168527
6570,0,0.497727,0.49939,0.00302679,-0.00944743
6570,1,0.662362,0.537077,-0.0281269,0.164735
6600,0,0.497775,0.499249,0.00340914,-0.00932982
6600,1,0.66181,0.539518,-0.0454629,0.160674
6630,0,0.497829,0.49911,0.00378296,-0.00919213
6630,1,0.660998,0.541896,-0.062739,0.156345
6660,0,0.497889,0.498973,0.00414792,-0.00903506
6660,1,0.659928,0.544207,-0.0799734,0.151741
6690,0,0.497953,0.498839,0.00450371,-0.00885925
6690,1,0.658599,0.546446,-0.0971882,0.146849
6720,0,0.498024,0.498707,0.00485,-0.00866537
6720,1,0.657012,0.548611,-0.114399,0.141661
6750,0,0.498099,0.498579,0.00518642,-0.00845406
6750,1,0.655167,0.550695,-0.131619,0.136172
6780,0,0.498179,0.498454,0.00551267,-0.00822587
6780,1,0.653064,0.552694,-0.148874,0.130355
6810,0,0.498264,0.498332,0.00582841,-0.00798136
6810,1,0.650701,0.554604,-0.166186,0.124193
6840,0,0.498354,0.498215,0.00613326,-0.00772113
6840,1,0.648078,0.556418,-0.183569,0.117677
6870,0,0.498448,0.498101,0.00642686,-0.00744567
6870,1,0.645193,0.558132,-0.201042,0.110779
6900,0,0.498547,0.497991,0.00670884,-0.00715544
6900,1,0.642046,0.559739,-0.218629,0.103471
6930,0,0.498649,0.497886,0.00697882,-0.00685089
6930,1,0.638634,0.561234,-0.236345,0.0957244
6960,0,0.498756,0.497786,0.00723643,-0.00653232
6960,1,0.634955,0.562609,-0.254218,0.0874877
6990,0,0.498866,0.49769,0.00748124,-0.00620016
6990,1,0.631006,0.563856,-0.272269,0.0787396
7020,0,0.49898,0.4976,0.00771286,-0.00585465
7020,1,0.626786,0.564968,-0.290521,0.0694237
7050,0,0.499098,0.497515,0.00793085,-0.00549608
7050,1,0.622289,0.565936,-0.308995,0.0594953
7080,0,0.499218,0.497435,0.00813478,-0.00512449
7080,1,0.617514,0.566749,-0.327718,0.0488776
7110,0,0.499342,0.497361,0.00832423,-0.00474
7110,1,0.612457,0.567398,-0.346718,0.0374984
7140,0,0.499468,0.497293,0.00849875,-0.0043426
7140,1,0.607111,0.56787,-0.366021,0.0252673
7170,0,0.499597,0.497231,0.00865785,-0.0039321
7170,1,0.601474,0.568151,-0.385649,0.0120697
7200,0,0.499728,0.497175,0.00880107,-0.00350828
7200,1,0.59554,0.568227,-0.40563,-0.00222135
7230,0,0.499861,0.497126,0.00892789,-0.00307076
7230,1,0.589304,0.568079,-0.425985,-0.0177584
7260,0,0.499995,0.497083,0.00903772,-0.0026189
7260,1,0.582759,0.567687,-0.446731,-0.0347357
7290,0,0.500132,0.497047,0.00913016,-0.00215601
7290,1,0.5759,0.567028,-0.467873,-0.0533965
7320,0,0.500269,0.497018,0.00920542,-0.0016857
7320,1,0.568721,0.566075,-0.48939,-0.0740444
7350,0,0.500408,0.496997,0.00926389,-0.00120657
7350,1,0.561216,0.564795,-0.511232,-0.097066
7380,0,0.500547,0.496982,0.00930547,-0.000716538
7380,1,0.553383,0.563149,-0.533267,-0.122958
7410,0,0.500687,0.496975,0.00932966,-0.000212873
7410,1,0.545219,0.561089,-0.555274,-0.152348
7440,0,0.500827,0.496976,0.0093355,0.000307925
7440,1,0.536726,0.558557,-0.576931,-0.186036
7470,0,0.500967,0.496985,0.00931972,0.000851047
7470,1,0.527916,0.55548,-0.597456,-0.225117
7500,0,0.501106,0.497002,0.00927624,0.00142294
7500,1,0.518815,0.551769,-0.615516,-0.27094
7530,0,0.501245,0.497027,0.00919401,0.00203105
7530,1,0.509474,0.54731,-0.628837,-0.325073
7560,0,0.501382,0.497063,0.0090526,0.00268027
7560,1,0.499994,0.54197,-0.633192,-0.388583
7590,0,0.501516,0.497108,0.00882129,0.00336086
7590,1,0.490554,0.535615,-0.622317,-0.459582
7620,0,0.501646,0.497163,0.00847046,0.00403421
7620,1,0.481432,0.528182,-0.590093,-0.530493
7650,0,0.501769,0.497229,0.00799609,0.00464163
7650,1,0.472964,0.51976,-0.535637,-0.589546
7680,0,0.501885,0.497302,0.00743611,0.00513667
7680,1,0.465437,0.510602,-0.466364,-0.627531
7710,0,0.501992,0.497382,0.00685008,0.00551293
